Rk,Player,Pos,Squad,Age,Born,90s played,Yellow Card,Red Card,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interception,Takles won,Pos_primary,Squad_clean,Stage
915,Haris Tabakovi?,FW,ba BosniaHerz,31,1994,0.2,0,0,0,0,0,0,0,0,0,FW,BosniaHerz,Reached Knockouts
916,Lee Tae-seok,MF,kr Korea Republic,23,2002,1.3,0,0,0,3,1,0,8,0,3,MF,Korea Republic,Group Stage Exit
917,Nicolás Tagliafico,DF,ar Argentina,33,1992,5.3,0,0,0,9,16,2,2,6,4,DF,Argentina,Reached Knockouts
918,Jonathan Tah,DF,de Germany,30,1996,4.1,0,0,0,5,1,0,1,1,3,DF,Germany,Reached Knockouts
919,Benjamin Tahirovic,MF,ba BosniaHerz,23,2003,2.6,0,0,0,3,2,0,2,4,4,MF,BosniaHerz,Reached Knockouts
920,Zaid Tahseen,DF,iq Iraq,25,2001,1.7,1,0,0,3,2,0,0,0,1,DF,Iraq,Group Stage Exit
921,Chemsdine Talbi,MF,ma Morocco,21,2005,2.0,0,0,0,0,1,0,9,2,2,MF,Morocco,Reached Knockouts
922,Montassar Talbi,DF,tn Tunisia,28,1998,3.0,0,0,0,1,1,0,0,5,2,DF,Tunisia,Group Stage Exit
923,Hassan Al Tambakti,DF,sa Saudi Arabia,27,1999,2.4,0,0,0,0,1,0,0,3,3,DF,Saudi Arabia,Group Stage Exit
924,Ao Tanaka,MF,jp Japan,27,1998,2.1,0,0,0,6,2,0,0,1,6,MF,Japan,Reached Knockouts
925,Shogo Taniguchi,DF,jp Japan,34,1991,2.6,1,0,0,2,1,0,0,1,0,DF,Japan,Reached Knockouts
926,Mehdi Taremi,FW,ir IR Iran,33,1992,2.9,0,0,0,3,5,2,1,2,2,FW,IR Iran,Group Stage Exit
927,Aurélien Tchouaméni,MF,fr France,26,2000,4.0,1,0,0,4,3,0,2,6,14,MF,France,Reached Knockouts
928,Arthur Theate,DF,be Belgium,26,2000,2.5,0,0,0,1,0,0,0,3,0,DF,Belgium,Reached Knockouts
929,Igor Thiago,FW,br Brazil,24,2001,0.7,0,0,0,2,0,0,0,0,1,FW,Brazil,Reached Knockouts
930,Malick Thiaw,DFMF,de Germany,24,2001,0.5,0,0,0,1,1,0,0,0,2,DFMF,Germany,Reached Knockouts
931,Ryan Thomas,MF,nz New Zealand,31,1994,0.9,0,0,0,3,3,0,1,0,2,MF,New Zealand,Group Stage Exit
932,Brandon Thomas-Asante,FWMF,gh Ghana,27,1998,0.6,0,0,0,0,1,1,1,0,0,FWMF,Ghana,Reached Knockouts
933,Morten Thorsby,MF,no Norway,30,1996,0.5,0,0,0,1,0,0,0,1,1,MF,Norway,Reached Knockouts
934,Kristian Thorstvedt,MF,no Norway,27,1999,0.7,0,0,0,2,1,0,0,0,1,MF,Norway,Reached Knockouts
936,Youri Tielemans,MF,be Belgium,29,1997,5.3,0,0,0,7,10,1,15,2,6,MF,Belgium,Reached Knockouts
937,Kieran Tierney,MF,sct Scotland,29,1997,1.2,0,0,0,3,2,0,7,2,1,MF,Scotland,Group Stage Exit
938,Guus Til,FWMF,nl Netherlands,28,1997,0.4,0,0,0,0,0,0,0,0,0,FWMF,Netherlands,Reached Knockouts
939,Malik Tillman,MF,us USA,24,2002,4.0,1,0,0,3,13,0,14,5,7,MF,USA,Reached Knockouts
940,Quinten Timber,MF,nl Netherlands,24,2001,0.6,0,0,0,0,2,0,1,1,0,MF,Netherlands,Reached Knockouts
941,Takehiro Tomiyasu,DF,jp Japan,27,1998,2.0,0,0,0,5,2,0,2,2,1,DF,Japan,Reached Knockouts
942,Ivan Toney,FW,eng England,30,1996,0.9,0,0,0,0,3,2,0,0,0,FW,England,Reached Knockouts
943,Mehdi Torabi,MF,ir IR Iran,31,1994,0.3,0,0,0,0,0,0,2,1,0,MF,IR Iran,Group Stage Exit
944,Félix Torres Caicedo,DF,ec Ecuador,29,1997,0.1,0,0,0,0,0,0,0,0,0,DF,Ecuador,Reached Knockouts
945,Ferran Torres,FW,es Spain,26,2000,3.2,1,0,0,6,4,3,4,0,0,FW,Spain,Reached Knockouts
946,Sebastian Tounekti,FW,tn Tunisia,23,2002,0.9,0,0,0,1,0,0,3,0,0,FW,Tunisia,Group Stage Exit
947,Bazoumana Touré,MF,ci Côte d'Ivoire,20,2006,0.9,0,0,0,0,1,0,2,0,1,MF,Côte d'Ivoire,Reached Knockouts
948,Mo Touré,FW,au Australia,22,2004,1.8,0,0,0,4,2,1,1,0,1,FW,Australia,Reached Knockouts
949,Kai Trewin,DFMF,au Australia,25,2001,0.8,0,0,0,0,1,0,2,2,0,DFMF,Australia,Reached Knockouts
950,Trézéguet,MF,eg Egypt,31,1994,1.8,0,0,0,3,2,0,2,1,0,MF,Egypt,Reached Knockouts
951,Francisco Trincão,FWMF,pt Portugal,26,1999,0.3,0,0,0,0,0,0,0,0,1,FWMF,Portugal,Reached Knockouts
952,Leandro Trossard,MFFW,be Belgium,31,1994,5.6,0,0,0,4,8,1,7,4,1,MFFW,Belgium,Reached Knockouts
953,Auston Trusty,DF,us USA,27,1998,1.1,0,0,0,2,0,0,2,4,1,DF,USA,Reached Knockouts
954,Axel Tuanzebe,DF,cd Congo DR,28,1997,4.0,0,0,0,3,3,0,0,1,2,DF,Congo DR,Reached Knockouts
956,Ayase Ueda,FW,jp Japan,27,1998,3.6,0,0,0,6,4,1,0,0,1,FW,Japan,Reached Knockouts
957,Manuel Ugarte,MF,uy Uruguay,25,2001,2.0,0,0,0,1,0,0,0,3,1,MF,Uruguay,Group Stage Exit
958,Deniz Undav,FW,de Germany,29,1996,1.7,0,0,0,3,0,0,1,0,0,FW,Germany,Reached Knockouts
959,Dayot Upamecano,DF,fr France,27,1998,7.3,0,0,0,7,4,0,0,15,12,DF,France,Reached Knockouts
960,Jakhongir Urozov,DF,uz Uzbekistan,22,2004,1.1,0,0,0,0,0,0,0,1,0,DF,Uzbekistan,Group Stage Exit
961,Oston Urunov,MF,uz Uzbekistan,25,2000,0.7,0,0,0,0,0,0,0,1,0,MF,Uzbekistan,Group Stage Exit
962,Can Uzun,MF,tr Türkiye,20,2005,0.4,0,0,0,0,1,0,0,0,0,MF,Türkiye,Group Stage Exit
963,Enner Valencia,FW,ec Ecuador,36,1989,3.2,0,0,0,4,7,2,1,0,1,FW,Ecuador,Reached Knockouts
964,Yan Valery,DF,tn Tunisia,27,1999,2.8,0,0,0,4,0,1,7,4,1,DF,Tunisia,Group Stage Exit
965,Federico Valverde,MF,uy Uruguay,27,1998,2.6,0,0,0,1,0,0,11,3,2,MF,Uruguay,Group Stage Exit
966,Virgil van Dijk,DF,nl Netherlands,34,1991,4.3,0,0,0,2,2,0,0,3,1,DF,Netherlands,Reached Knockouts
967,Hans Vanaken,MF,be Belgium,33,1992,3.5,0,0,0,0,6,0,2,1,1,MF,Belgium,Reached Knockouts
968,Guillermo Varela,DF,uy Uruguay,33,1993,3.0,1,0,0,1,1,0,9,7,1,DF,Uruguay,Group Stage Exit
969,Hélio Varela,FW,cv Cabo Verde,24,2002,1.2,0,0,0,1,2,1,1,0,0,FW,Cabo Verde,Reached Knockouts
971,Obed Vargas,MF,mx Mexico,20,2005,0.7,0,0,0,1,0,0,0,1,2,MF,Mexico,Reached Knockouts
972,Ruben Vargas,MF,ch Switzerland,27,1998,3.2,0,0,0,6,6,2,23,2,2,MF,Switzerland,Reached Knockouts
974,Johan Vásquez,DF,mx Mexico,27,1998,4.0,1,0,0,0,2,0,1,2,1,DF,Mexico,Reached Knockouts
975,Alexis Vega,FWMF,mx Mexico,28,1997,0.1,0,0,0,0,0,0,1,0,0,FWMF,Mexico,Reached Knockouts
976,Renato Veiga,DF,pt Portugal,22,2003,5.0,2,0,0,5,3,0,0,6,1,DF,Portugal,Reached Knockouts
977,Gustavo Velásquez,DF,py Paraguay,35,1991,2.7,0,0,0,2,0,0,3,1,1,DF,Paraguay,Reached Knockouts
978,Nishan Velupillay,MF,au Australia,25,2001,0.8,0,0,0,1,0,0,0,0,1,MF,Australia,Reached Knockouts
979,Micky van de Ven,DFMF,nl Netherlands,25,2001,2.9,1,0,0,5,1,0,2,2,3,DFMF,Netherlands,Reached Knockouts
981,Matías Viña,DF,uy Uruguay,28,1997,0.5,0,0,0,0,1,1,2,0,0,DF,Uruguay,Group Stage Exit
982,Federico Viñas,FW,uy Uruguay,27,1998,2.1,0,0,0,3,3,3,0,1,2,FW,Uruguay,Group Stage Exit
983,Denis Viinský,FW,cz Czechia,23,2003,0.6,0,0,0,0,1,0,0,0,0,FW,Czechia,Group Stage Exit
984,Pedro Vite,MF,ec Ecuador,24,2002,4.0,0,0,0,2,5,0,6,5,11,MF,Ecuador,Reached Knockouts
985,Vitinha,MF,pt Portugal,26,2000,4.2,0,0,0,4,5,0,1,2,0,MF,Portugal,Reached Knockouts
986,Nikola Vlai?,MF,hr Croatia,28,1997,2.1,0,0,0,5,0,2,3,1,2,MF,Croatia,Reached Knockouts
987,Cristian Volpato,MF,au Australia,22,2003,1.8,0,0,0,1,2,0,11,0,1,MF,Australia,Reached Knockouts
989,Francis de Vries,DF,nz New Zealand,31,1994,0.2,0,0,0,0,0,0,3,1,0,DF,New Zealand,Group Stage Exit
990,Luka Vukovi?,DF,hr Croatia,19,2007,0.7,0,0,0,1,1,0,0,1,0,DF,Croatia,Reached Knockouts
991,Elye Wahi,FW,ci Côte d'Ivoire,23,2003,1.2,0,0,0,0,0,0,0,0,1,FW,Côte d'Ivoire,Reached Knockouts
992,Aaron Wan-Bissaka,DF,cd Congo DR,28,1997,3.9,0,0,0,1,1,1,6,7,4,DF,Congo DR,Reached Knockouts
993,Paul Wanner,MF,at Austria,20,2005,2.6,0,0,0,4,2,0,1,2,1,MF,Austria,Reached Knockouts
994,Tsuyoshi Watanabe,DF,jp Japan,29,1997,1.0,0,0,0,0,1,0,1,0,2,DF,Japan,Reached Knockouts
995,Cecilio Waterman,FW,pa Panama,35,1991,0.8,0,0,0,1,1,0,0,0,0,FW,Panama,Group Stage Exit
996,Ollie Watkins,FWMF,eng England,30,1995,0.6,0,0,0,1,0,0,2,0,1,FWMF,England,Reached Knockouts
997,Timothy Weah,MF,us USA,26,2000,0.8,0,0,0,2,0,2,0,0,0,MF,USA,Reached Knockouts
998,Wout Weghorst,FW,nl Netherlands,33,1992,0.6,0,0,0,1,2,0,0,0,1,FW,Netherlands,Reached Knockouts
1000,Silvan Widmer,DF,ch Switzerland,33,1993,1.9,0,0,0,2,0,0,4,1,4,DF,Switzerland,Reached Knockouts
1001,Iñaki Williams,MFFW,gh Ghana,31,1994,1.4,1,0,0,2,1,1,4,1,0,MFFW,Ghana,Reached Knockouts
1002,Nico Williams,MF,es Spain,23,2002,1.3,0,0,0,2,1,1,9,1,1,MF,Spain,Reached Knockouts
1004,Patrick Wimmer,FWMF,at Austria,25,2001,0.2,0,0,0,3,1,0,0,2,0,FWMF,Austria,Reached Knockouts
1005,Florian Wirtz,MF,de Germany,23,2003,4.0,0,0,0,1,3,1,13,2,6,MF,Germany,Reached Knockouts
1006,Yoane Wissa,FW,cd Congo DR,29,1996,4.0,0,0,0,5,9,1,0,0,1,FW,Congo DR,Reached Knockouts
1007,Axel Witsel,DFMF,be Belgium,37,1989,0.4,1,0,0,2,1,0,0,0,0,DFMF,Belgium,Reached Knockouts
1008,Nick Woltemade,FWMF,de Germany,24,2002,0.4,0,0,0,0,0,0,0,0,1,FWMF,Germany,Reached Knockouts
1009,Chris Wood,FW,nz New Zealand,34,1991,3.0,0,0,0,2,1,4,0,0,1,FW,New Zealand,Group Stage Exit
1011,Granit Xhaka,MF,ch Switzerland,33,1992,6.7,2,0,0,4,12,0,4,4,4,MF,Switzerland,Reached Knockouts
1012,Kevin Yakob,MF,iq Iraq,25,2000,0.3,0,0,0,1,0,0,0,1,0,MF,Iraq,Group Stage Exit
1013,Lamine Yamal,MFFW,es Spain,18,2007,6.8,0,0,0,14,9,7,34,2,9,MFFW,Spain,Reached Knockouts
1014,Yannick,MF,cv Cabo Verde,30,1995,0.4,0,0,0,1,1,0,2,2,1,MF,Cabo Verde,Reached Knockouts
1015,Gessime Yassine,MF,ma Morocco,20,2005,0.9,0,0,0,2,3,0,1,1,2,MF,Morocco,Reached Knockouts
1016,John Yeboah,MF,ec Ecuador,25,2000,3.5,0,0,0,0,4,0,11,3,3,MF,Ecuador,Reached Knockouts
1017,Tete Yengi,FW,au Australia,25,2000,0.3,0,0,0,3,0,0,1,0,2,FW,Australia,Reached Knockouts
1018,Kenan Y?ld?z,MF,tr Türkiye,21,2005,2.4,0,0,0,2,4,0,6,1,2,MF,Türkiye,Group Stage Exit
1019,Caleb Yirenkyi,MF,gh Ghana,20,2006,2.9,2,0,0,7,3,0,1,3,1,MF,Ghana,Reached Knockouts
1020,Seol Young-woo,MF,kr Korea Republic,27,1998,2.8,0,0,0,1,2,4,9,1,0,MF,Korea Republic,Group Stage Exit
1021,Manaf Younis,DF,iq Iraq,29,1996,0.8,0,0,0,0,0,0,0,1,1,DF,Iraq,Group Stage Exit
1022,Aria Yousefi,MF,ir IR Iran,24,2002,0.5,0,0,0,0,1,0,0,1,0,MF,IR Iran,Group Stage Exit
1023,Ali Yousif,FW,iq Iraq,30,1996,0.4,0,0,0,1,0,0,0,0,1,FW,Iraq,Group Stage Exit
1024,?smail Yüksek,MF,tr Türkiye,27,1999,1.5,0,0,0,2,0,0,0,2,5,MF,Türkiye,Group Stage Exit
1026,Warren Zaïre-Emery,MF,fr France,20,2006,1.2,0,0,0,1,0,0,1,1,0,MF,France,Reached Knockouts
1027,Denis Zakaria,DF,ch Switzerland,29,1996,4.0,2,0,0,4,0,1,13,9,5,DF,Switzerland,Reached Knockouts
1028,Jaroslav Zelený,MF,cz Czechia,33,1992,1.4,0,0,0,0,2,0,4,0,0,MF,Czechia,Group Stage Exit
1029,Alejandro Zendejas,FWMF,us USA,28,1998,0.2,0,0,0,1,0,0,1,0,1,FWMF,USA,Reached Knockouts
1030,Besfort Zeneli,MF,se Sweden,23,2002,0.7,0,0,0,1,0,0,1,1,0,MF,Sweden,Reached Knockouts
1031,Ramiz Zerrouki,MF,dz Algeria,28,1998,1.2,1,0,0,4,0,0,0,2,1,MF,Algeria,Reached Knockouts
1033,Mostafa Ziko,FWMF,eg Egypt,29,1997,4.1,0,0,0,6,5,2,2,2,4,FWMF,Egypt,Reached Knockouts
1034,David Zima,DF,cz Czechia,25,2000,0.1,0,0,0,0,0,0,0,0,0,DF,Czechia,Group Stage Exit
1035,Zizo,MF,eg Egypt,30,1996,0.6,0,0,0,2,1,0,6,0,1,MF,Egypt,Reached Knockouts
1036,Martín Zubimendi,MF,es Spain,27,1999,0.2,0,0,0,0,0,0,0,1,0,MF,Spain,Reached Knockouts
1037,Themba Zwane,FWMF,za South Africa,36,1989,0.3,0,1,0,1,0,0,0,0,0,FWMF,South Africa,Reached Knockouts
1038,Martin Ødegaard,MF,no Norway,27,1998,5.2,0,0,0,3,4,0,15,3,4,MF,Norway,Reached Knockouts
1039,Leo Østigård,DF,no Norway,26,1999,1.6,0,0,0,2,2,0,0,1,3,DF,Norway,Reached Knockouts
